source,L_Lsun,R_Rsun,M_total_Msun,A_V,m_nuc,D_L_Gpc,DM,R_max_Rsun,validity,m_unlensed,mu_cusp,m_lensed,flux_ratio,delta_m_peak,P_inject_days,detector,threshold,recovery_fraction,binom_se,n_inj,seed,aperture_note
RGB,2000.0,100.0,10000000000.0,2.0,19.0,0.2,36.51,3118.1455134911876,VALID,32.99742501084005,303962.00952271017,21.29037674331216,0.12129678855657534,0.12430144578919534,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,10000000000.0,2.0,19.0,0.35,37.72,3118.1455134911876,VALID,34.20742501084005,303962.00952271017,22.50037674331216,0.03979690539514958,0.042371301421026755,18.0071,global_max,0.427687,0.0750,0.0186,200,42,
RGB,2000.0,100.0,10000000000.0,2.0,19.0,0.35,37.72,3118.1455134911876,VALID,34.20742501084005,303962.00952271017,22.50037674331216,0.03979690539514958,0.042371301421026755,18.0071,blind_harmonic_sum,0.804701,0.0250,0.0110,200,42,
RGB,2000.0,100.0,10000000000.0,2.0,19.0,0.35,37.72,3118.1455134911876,VALID,34.20742501084005,303962.00952271017,22.50037674331216,0.03979690539514958,0.042371301421026755,18.0071,oracle_single_freq,0.093194,0.9450,0.0161,200,42,
RGB,2000.0,100.0,10000000000.0,2.0,19.0,0.5,38.49,3118.1455134911876,VALID,34.97742501084005,303962.00952271017,23.270376743312163,0.019581650852187965,0.021055027454654377,18.0071,global_max,0.427687,0.0050,0.0050,200,42,
RGB,2000.0,100.0,10000000000.0,2.0,19.0,0.5,38.49,3118.1455134911876,VALID,34.97742501084005,303962.00952271017,23.270376743312163,0.019581650852187965,0.021055027454654377,18.0071,blind_harmonic_sum,0.804701,0.0000,0.0000,200,42,
RGB,2000.0,100.0,10000000000.0,2.0,19.0,0.5,38.49,3118.1455134911876,VALID,34.97742501084005,303962.00952271017,23.270376743312163,0.019581650852187965,0.021055027454654377,18.0071,oracle_single_freq,0.093194,0.5350,0.0353,200,42,
RGB,2000.0,100.0,20000000000.0,0.0,19.0,0.1,35.0,3500.0,VALID,31.48742501084005,412356.1774981991,17.449243748081784,4.171598482158446,1.7840619982973671,18.0071,global_max,0.427687,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,20000000000.0,0.0,19.0,0.1,35.0,3500.0,VALID,31.48742501084005,412356.1774981991,17.449243748081784,4.171598482158446,1.7840619982973671,18.0071,blind_harmonic_sum,0.804701,0.9250,0.0186,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,20000000000.0,0.0,19.0,0.1,35.0,3500.0,VALID,31.48742501084005,412356.1774981991,17.449243748081784,4.171598482158446,1.7840619982973671,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,20000000000.0,0.0,19.0,0.2,36.51,3500.0,VALID,32.99742501084005,412356.1774981991,18.959243748081782,1.0382513411255778,0.7731443418814943,18.0071,global_max,0.427687,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,20000000000.0,0.0,19.0,0.2,36.51,3500.0,VALID,32.99742501084005,412356.1774981991,18.959243748081782,1.0382513411255778,0.7731443418814943,18.0071,blind_harmonic_sum,0.804701,0.9050,0.0207,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,20000000000.0,0.0,19.0,0.2,36.51,3500.0,VALID,32.99742501084005,412356.1774981991,18.959243748081782,1.0382513411255778,0.7731443418814943,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,aperture-favourable: fixed m_nuc=19 understates nuclear light at this distance
RGB,2000.0,100.0,20000000000.0,0.0,19.0,0.35,37.72,3500.0,VALID,34.20742501084005,412356.1774981991,20.169243748081783,0.3406453780916851,0.31828478820611766,18.0071,global_max,0.427687,0.9950,0.0050,200,42,
RGB,2000.0,100.0,20000000000.0,0.0,19.0,0.35,37.72,3500.0,VALID,34.20742501084005,412356.1774981991,20.169243748081783,0.3406453780916851,0.31828478820611766,18.0071,blind_harmonic_sum,0.804701,0.8100,0.0277,200,42,
RGB,2000.0,100.0,20000000000.0,0.0,19.0,0.35,37.72,3500.0,VALID,34.20742501084005,412356.1774981991,20.169243748081783,0.3406453780916851,0.31828478820611766,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,
RGB,2000.0,100.0,20000000000.0,0.0,19.0,0.5,38.49,3500.0,VALID,34.97742501084005,412356.1774981991,20.939243748081786,0.16761099366826454,0.16824543861236813,18.0071,global_max,0.427687,0.9800,0.0099,200,42,
RGB,2000.0,100.0,20000000000.0,0.0,19.0,0.5,38.49,3500.0,VALID,34.97742501084005,412356.1774981991,20.939243748081786,0.16761099366826454,0.16824543861236813,18.0071,blind_harmonic_sum,0.804701,0.7250,0.0316,200,42,
RGB,2000.0,100.0,20000000000.0,0.0,19.0,0.5,38.49,3500.0,VALID,34.97742501084005,412356.1774981991,20.939243748081786,0.16761099366826454,0.16824543861236813,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,
