source,L_Lsun,R_Rsun,M_total_Msun,A_V,m_nuc,D_L_Gpc,DM,R_max_Rsun,validity,m_unlensed,mu_cusp,m_lensed,flux_ratio,delta_m_peak,P_inject_days,detector,threshold,recovery_fraction,binom_se,n_inj,seed,aperture_note
RGB,2000.0,100.0,1000000000.0,2.0,19.0,2.0,41.51,2124.36780851021,VALID,37.99742501084005,110361.93514151666,27.39037674331216,0.00044040202038981614,0.00047805515768227405,18.0071,global_max,0.427687,0.0050,0.0050,200,42,
RGB,2000.0,100.0,1000000000.0,2.0,19.0,2.0,41.51,2124.36780851021,VALID,37.99742501084005,110361.93514151666,27.39037674331216,0.00044040202038981614,0.00047805515768227405,18.0071,blind_harmonic_sum,0.804701,0.0200,0.0099,200,42,
RGB,2000.0,100.0,1000000000.0,2.0,19.0,2.0,41.51,2124.36780851021,VALID,37.99742501084005,110361.93514151666,27.39037674331216,0.00044040202038981614,0.00047805515768227405,18.0071,oracle_single_freq,0.093194,0.0150,0.0086,200,42,
RGB,2000.0,100.0,1000000000.0,2.0,19.0,2.9,42.31,2124.36780851021,VALID,38.79742501084005,110361.93514151666,28.190376743312164,0.00021078965967825315,0.00022883784762265188,18.0071,global_max,0.427687,0.0000,0.0000,200,42,
RGB,2000.0,100.0,1000000000.0,2.0,19.0,2.9,42.31,2124.36780851021,VALID,38.79742501084005,110361.93514151666,28.190376743312164,0.00021078965967825315,0.00022883784762265188,18.0071,blind_harmonic_sum,0.804701,0.0200,0.0099,200,42,
RGB,2000.0,100.0,1000000000.0,2.0,19.0,2.9,42.31,2124.36780851021,VALID,38.79742501084005,110361.93514151666,28.190376743312164,0.00021078965967825315,0.00022883784762265188,18.0071,oracle_single_freq,0.093194,0.0150,0.0086,200,42,
RGB,2000.0,100.0,10000000000.0,0.0,19.0,0.5,38.49,3118.1455134911876,VALID,34.97742501084005,303962.00952271017,21.270376743312163,0.12355186422234837,0.1264828116602179,18.0071,global_max,0.427687,0.9350,0.0174,200,42,
RGB,2000.0,100.0,10000000000.0,0.0,19.0,0.5,38.49,3118.1455134911876,VALID,34.97742501084005,303962.00952271017,21.270376743312163,0.12355186422234837,0.1264828116602179,18.0071,blind_harmonic_sum,0.804701,0.4750,0.0353,200,42,
RGB,2000.0,100.0,10000000000.0,0.0,19.0,0.5,38.49,3118.1455134911876,VALID,34.97742501084005,303962.00952271017,21.270376743312163,0.12355186422234837,0.1264828116602179,18.0071,oracle_single_freq,0.093194,1.0000,0.0000,200,42,
RGB,2000.0,100.0,10000000000.0,0.0,19.0,1.0,40.0,3118.1455134911876,VALID,36.48742501084005,303962.00952271017,22.78037674331216,0.03075029614572245,0.03288367062730447,18.0071,global_max,0.427687,0.0050,0.0050,200,42,
RGB,2000.0,100.0,10000000000.0,0.0,19.0,1.0,40.0,3118.1455134911876,VALID,36.48742501084005,303962.00952271017,22.78037674331216,0.03075029614572245,0.03288367062730447,18.0071,blind_harmonic_sum,0.804701,0.0050,0.0050,200,42,
RGB,2000.0,100.0,10000000000.0,0.0,19.0,1.0,40.0,3118.1455134911876,VALID,36.48742501084005,303962.00952271017,22.78037674331216,0.03075029614572245,0.03288367062730447,18.0071,oracle_single_freq,0.093194,0.9000,0.0212,200,42,
RGB,2000.0,100.0,10000000000.0,0.0,19.0,2.0,41.51,3118.1455134911876,VALID,37.99742501084005,303962.00952271017,24.29037674331216,0.00765330996016323,0.008277839525201763,18.0071,global_max,0.427687,0.0100,0.0070,200,42,
RGB,2000.0,100.0,10000000000.0,0.0,19.0,2.0,41.51,3118.1455134911876,VALID,37.99742501084005,303962.00952271017,24.29037674331216,0.00765330996016323,0.008277839525201763,18.0071,blind_harmonic_sum,0.804701,0.0000,0.0000,200,42,
RGB,2000.0,100.0,10000000000.0,0.0,19.0,2.0,41.51,3118.1455134911876,VALID,37.99742501084005,303962.00952271017,24.29037674331216,0.00765330996016323,0.008277839525201763,18.0071,oracle_single_freq,0.093194,0.0950,0.0207,200,42,
RGB,2000.0,100.0,10000000000.0,0.0,19.0,2.9,42.31,3118.1455134911876,VALID,38.79742501084005,303962.00952271017,25.090376743312163,0.003663104452806677,0.0039698984808287435,18.0071,global_max,0.427687,0.0200,0.0099,200,42,
RGB,2000.0,100.0,10000000000.0,0.0,19.0,2.9,42.31,3118.1455134911876,VALID,38.79742501084005,303962.00952271017,25.090376743312163,0.003663104452806677,0.0039698984808287435,18.0071,blind_harmonic_sum,0.804701,0.0000,0.0000,200,42,
RGB,2000.0,100.0,10000000000.0,0.0,19.0,2.9,42.31,3118.1455134911876,VALID,38.79742501084005,303962.00952271017,25.090376743312163,0.003663104452806677,0.0039698984808287435,18.0071,oracle_single_freq,0.093194,0.0650,0.0174,200,42,
RGB,2000.0,100.0,10000000000.0,0.5,19.0,0.5,38.49,3118.1455134911876,VALID,34.97742501084005,303962.00952271017,21.770376743312163,0.07795595615531031,0.08150254129777026,18.0071,global_max,0.427687,0.7800,0.0293,200,42,
