host,host_label,statistic,detector,D_L_Gpc,DM,A_V,L_min_Lsun,N_zone,N_zone_f_burst,f_burst,r_E_pc,column_Msun_per_pc2
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v1-frozen,global_max,0.1,35.0,0.0,4.12243,100.825,10.0825,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v1-frozen,global_max,0.2,36.51,0.0,16.8969,16.8223,1.68223,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v1-frozen,global_max,0.35,37.72,0.0,149.38,1.76417,0.176417,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v1-frozen,global_max,0.5,38.49,0.0,528.665,0.553863,0.0553863,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v1-frozen,global_max,0.7,39.23,0.0,1823.12,0.0991721,0.00991721,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v1-frozen,global_max,0.85,39.65,0.0,3776.98,0.0369448,0.00369448,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v1-frozen,global_max,1.0,40.0,0.0,8629.47,0,0,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v1-frozen,global_max,2.0,41.51,0.0,34664.5,0,0,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v1-frozen,global_max,2.9,42.31,0.0,72437.8,0,0,0.1,1.95686,230.773
intermediate,"intermediate, [Fe/H]=+0.25 (1.585 Gyr)",v1-frozen,blind_harmonic_sum,0.1,35.0,0.0,7.54605,55.6408,5.56408,0.1,1.95686,230.773
