statistic,detector,floor_mag,D_L_Gpc,DM,A_V,m_nuc,M_total_Msun,L_min_Lsun,R_at_Lmin_Rsun,Sigma_detectable_per_pc2,r_E_pc,einstein_area_pc2,N_zone,column_Msun_per_pc2
v3-physical,global_max,radius-dependent,0.85,39.65,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,global_max,radius-dependent,1.0,40.0,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,global_max,radius-dependent,2.0,41.51,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,global_max,radius-dependent,2.9,42.31,1.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,global_max,0.201888,0.1,35.0,2.0,19.0,20000000000.0,3662.54,215.431,2.71227e-05,1.95686,12.0301,0.00032629,230.773
v3-physical,global_max,0.186054,0.2,36.51,2.0,19.0,20000000000.0,3792.73,221.678,2.43674e-05,1.95686,12.0301,0.000293143,230.773
v3-physical,global_max,0.0966281,0.35,37.72,2.0,19.0,20000000000.0,6976.23,300.744,0,1.95686,12.0301,0,230.773
v3-physical,global_max,radius-dependent,0.5,38.49,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,global_max,radius-dependent,0.7,39.23,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,global_max,radius-dependent,0.85,39.65,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,global_max,radius-dependent,1.0,40.0,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,global_max,radius-dependent,2.0,41.51,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,global_max,radius-dependent,2.9,42.31,2.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,blind_harmonic_sum,0.307147,0.1,35.0,0.0,19.0,20000000000.0,3662.54,215.431,2.71227e-05,1.95686,12.0301,0.00032629,230.773
v3-physical,blind_harmonic_sum,0.307147,0.2,36.51,0.0,19.0,20000000000.0,3662.54,215.431,2.71227e-05,1.95686,12.0301,0.00032629,230.773
v3-physical,blind_harmonic_sum,0.307147,0.35,37.72,0.0,19.0,20000000000.0,3662.54,215.431,2.71227e-05,1.95686,12.0301,0.00032629,230.773
v3-physical,blind_harmonic_sum,0.231345,0.5,38.49,0.0,19.0,20000000000.0,5591.15,289.171,9.00564e-07,1.95686,12.0301,1.08339e-05,230.773
v3-physical,blind_harmonic_sum,radius-dependent,0.7,39.23,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,blind_harmonic_sum,radius-dependent,0.85,39.65,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,blind_harmonic_sum,radius-dependent,1.0,40.0,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,blind_harmonic_sum,radius-dependent,2.0,41.51,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,blind_harmonic_sum,radius-dependent,2.9,42.31,0.0,19.0,20000000000.0,,,,1.95686,12.0301,,230.773
v3-physical,blind_harmonic_sum,0.307147,0.1,35.0,0.5,19.0,20000000000.0,3662.54,215.431,2.71227e-05,1.95686,12.0301,0.00032629,230.773
v3-physical,blind_harmonic_sum,0.307147,0.2,36.51,0.5,19.0,20000000000.0,3662.54,215.431,2.71227e-05,1.95686,12.0301,0.00032629,230.773
