statistic,source,R_Rsun,L_Lsun,t_mag_hr,t_mag_days,P_days,detector,A_mag,recovery_fraction,binom_se,threshold,template,n_inj,seed
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,oracle_single_freq,0.078435,0.0250,0.0110,0.146767,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,oracle_single_freq,0.123690,0.0600,0.0168,0.146767,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,oracle_single_freq,0.195057,0.0400,0.0139,0.146767,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,oracle_single_freq,0.307602,0.0400,0.0139,0.146767,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,oracle_single_freq,0.485082,0.0500,0.0154,0.146767,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,oracle_single_freq,0.764965,0.0550,0.0161,0.146767,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,oracle_single_freq,1.206336,0.0400,0.0139,0.146767,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,oracle_single_freq,1.902369,0.0400,0.0139,0.146767,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,oracle_single_freq,3.000000,0.0650,0.0174,0.146767,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,blind_harmonic_sum,0.020000,0.0050,0.0050,0.804701,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,blind_harmonic_sum,0.031540,0.0100,0.0070,0.804701,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,blind_harmonic_sum,0.049737,0.0050,0.0050,0.804701,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,blind_harmonic_sum,0.078435,0.0100,0.0070,0.804701,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,blind_harmonic_sum,0.123690,0.0050,0.0050,0.804701,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,blind_harmonic_sum,0.195057,0.0250,0.0110,0.804701,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,blind_harmonic_sum,0.307602,0.0250,0.0110,0.804701,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,blind_harmonic_sum,0.485082,0.0250,0.0110,0.804701,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,blind_harmonic_sum,0.764965,0.0150,0.0086,0.804701,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,blind_harmonic_sum,1.206336,0.0100,0.0070,0.804701,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,blind_harmonic_sum,1.902369,0.0150,0.0086,0.804701,sawtooth,200,42
v3-physical,BSG,20.0,100000.0,28.5088,1.18786,91.3125,blind_harmonic_sum,3.000000,0.0100,0.0070,0.804701,sawtooth,200,42
